ebird_kodu,bizim_bilimsel_ad,birdnet_bilimsel_ad,turkce_ad
hoocro1,Corvus cornix,Corvus cornix,Leş Kargası
yelgul1,Larus michahellis,Larus michahellis,Gümüş Martı
eurjac,Coloeus monedula,Corvus monedula,Küçük Karga
eurmag1,Pica pica,Pica pica,Saksağan
houspa,Passer domesticus,Passer domesticus,Serçe
gretit1,Parus major,Parus major,Büyük Baştankara
rocpig,Columba livia,Columba livia,Kaya Güvercini
comcha,Fringilla coelebs,Fringilla coelebs,İspinoz
eursta,Sturnus vulgaris,Sturnus vulgaris,Sığırcık
grecor,Phalacrocorax carbo,Phalacrocorax carbo,Karabatak
eurrob1,Erithacus rubecula,Erithacus rubecula,Kızılgerdan
graher1,Ardea cinerea,Ardea cinerea,Gri Balıkçıl
combuz1,Buteo buteo,Buteo buteo,Şahin
alpswi1,Tachymarptis melba,Apus melba,Ak Karınlı Ebabil
eurbla,Turdus merula,Turdus merula,Karatavuk
bkhgul,Chroicocephalus ridibundus,Chroicocephalus ridibundus,Karabaş Martı
eurjay1,Garrulus glandarius,Garrulus glandarius,Alakarga
comchi1,Phylloscopus collybita,Phylloscopus collybita,Çıvgın
eurspa1,Accipiter nisus,Accipiter nisus,Atmaca
whiwag,Motacilla alba,Motacilla alba,Ak Kuyruksallayan
blutit,Cyanistes caeruleus,Cyanistes caeruleus,Mavi Baştankara
barswa,Hirundo rustica,Hirundo rustica,Kır Kırlangıcı
mallar3,Anas platyrhynchos,Anas platyrhynchos,Yeşilbaş
eucdov,Streptopelia decaocto,Streptopelia decaocto,Kumru
winwre4,Troglodytes troglodytes,Troglodytes troglodytes,Çıtkuşu
whisto1,Ciconia ciconia,Ciconia ciconia,Leylek
eurcoo,Fulica atra,Fulica atra,Sakarmeke
wemhar1,Circus aeruginosus,Circus aeruginosus,Saz Delicesi
litgre1,Tachybaptus ruficollis,Tachybaptus ruficollis,Küçük Batağan
commoo3,Gallinula chloropus,Gallinula chloropus,Sutavuğu
alepar2,Psittacula eupatria,Psittacula eupatria,İskender Papağanı
lottit1,Aegithalos caudatus,Aegithalos caudatus,Uzun Kuyruklu Baştankara
rebshr1,Lanius collurio,Lanius collurio,Kızıl Sırtlı Örümcekkuşu
sarwar1,Curruca melanocephala,Curruca melanocephala,Maskeli Ötleğen
eurkes,Falco tinnunculus,Falco tinnunculus,Kerkenez
grcgre1,Podiceps cristatus,Podiceps cristatus,Bahri
cetwar1,Cettia cetti,Cettia cetti,Kamışbülbülü
shteag1,Circaetus gallicus,Circaetus gallicus,Yılan Kartalı
comrav,Corvus corax,Corvus corax,Kuzgun
eurgol,Carduelis carduelis,Carduelis carduelis,Saka
comswi,Apus apus,Apus apus,Ebabil
blackc1,Sylvia atricapilla,Sylvia atricapilla,Kara Başlı Ötleğen
eubeat1,Merops apiaster,Merops apiaster,Arıkuşu
syrwoo1,Dendrocopos syriacus,Dendrocopos syriacus,Alaca Ağaçkakan
comnig1,Luscinia megarhynchos,Luscinia megarhynchos,Bülbül
eurgre1,Chloris chloris,Chloris chloris,Florya
litegr,Egretta garzetta,Egretta garzetta,Küçük Ak Balıkçıl
eaywag1,Motacilla flava,Motacilla flava,Sarı Kuyruksallayan
greegr,Ardea alba,Ardea alba,Büyük Ak Balıkçıl
eurhob,Falco subbuteo,Falco subbuteo,Delice Doğan
comkin1,Alcedo atthis,Alcedo atthis,Yalıçapkını
wlwwar,Phylloscopus trochilus,Phylloscopus trochilus,Söğütbülbülü
sonthr1,Turdus philomelos,Turdus philomelos,Öter Ardıç
medgul1,Ichthyaetus melanocephalus,Ichthyaetus melanocephalus,Akdeniz Martısı
grywag,Motacilla cinerea,Motacilla cinerea,Dağ Kuyruksallayanı
norwhe,Oenanthe oenanthe,Oenanthe oenanthe,Kuyrukkakan
spofly1,Muscicapa striata,Muscicapa striata,Benekli Sinekkapan
meapip1,Anthus pratensis,Anthus pratensis,Çayır İncirkuşu
palswi3,Apus pallidus,Apus pallidus,Boz Ebabil
eaowar1,Iduna pallida,Iduna pallida,Ak Mukallit
corbun1,Emberiza calandra,Emberiza calandra,Tarla Çintesi
blared1,Phoenicurus ochruros,Phoenicurus ochruros,Kara Kızılkuyruk
blakit1,Milvus migrans,Milvus migrans,Kara Çaylak
euhbuz1,Pernis apivorus,Pernis apivorus,Arı Şahini
comhom1,Delichon urbicum,Delichon urbicum,Ev Kırlangıcı
leswoo1,Dryobates minor,Dryobates minor,Küçük Ağaçkakan
rook1,Corvus frugilegus,Corvus frugilegus,Ekin Kargası
eursis,Spinus spinus,Spinus spinus,Kara Başlı İskete
booeag1,Hieraaetus pennatus,Hieraaetus pennatus,Küçük Kartal
eargre,Podiceps nigricollis,Podiceps nigricollis,Kara Boyunlu Batağan
hoopoe,Upupa epops,Upupa epops,İbibik
rebfly,Ficedula parva,Ficedula parva,Küçük Sinekkapan
eutdov,Streptopelia turtur,Streptopelia turtur,Üveyik
litowl1,Athene noctua,Athene noctua,Kukumav
trepip,Anthus trivialis,Anthus trivialis,Ağaç İncirkuşu
whinch1,Saxicola rubetra,Saxicola rubetra,Çayır Taşkuşu
grnsan,Tringa ochropus,Tringa ochropus,Yeşil Düdükçün
cirbun1,Emberiza cirlus,Emberiza cirlus,Bahçe Çintesi
woosan,Tringa glareola,Tringa glareola,Orman Düdükçünü
perfal,Falco peregrinus,Falco peregrinus,Gökdoğan
