ebird_code,our_scientific_name,birdnet_scientific_name,english_name
hoocro1,Corvus cornix,Corvus cornix,Hooded Crow
yelgul1,Larus michahellis,Larus michahellis,Yellow-legged Gull
eurjac,Coloeus monedula,Corvus monedula,Eurasian Jackdaw
eurmag1,Pica pica,Pica pica,Eurasian Magpie
houspa,Passer domesticus,Passer domesticus,House Sparrow
gretit1,Parus major,Parus major,Great Tit
rocpig,Columba livia,Columba livia,Rock Pigeon
comcha,Fringilla coelebs,Fringilla coelebs,Common Chaffinch
eursta,Sturnus vulgaris,Sturnus vulgaris,European Starling
grecor,Phalacrocorax carbo,Phalacrocorax carbo,Great Cormorant
eurrob1,Erithacus rubecula,Erithacus rubecula,European Robin
graher1,Ardea cinerea,Ardea cinerea,Gray Heron
combuz1,Buteo buteo,Buteo buteo,Common Buzzard
alpswi1,Tachymarptis melba,Apus melba,Alpine Swift
eurbla,Turdus merula,Turdus merula,Eurasian Blackbird
bkhgul,Chroicocephalus ridibundus,Chroicocephalus ridibundus,Black-headed Gull
eurjay1,Garrulus glandarius,Garrulus glandarius,Eurasian Jay
comchi1,Phylloscopus collybita,Phylloscopus collybita,Common Chiffchaff
eurspa1,Accipiter nisus,Accipiter nisus,Eurasian Sparrowhawk
whiwag,Motacilla alba,Motacilla alba,White Wagtail
blutit,Cyanistes caeruleus,Cyanistes caeruleus,Eurasian Blue Tit
barswa,Hirundo rustica,Hirundo rustica,Barn Swallow
mallar3,Anas platyrhynchos,Anas platyrhynchos,Mallard
eucdov,Streptopelia decaocto,Streptopelia decaocto,Eurasian Collared-Dove
winwre4,Troglodytes troglodytes,Troglodytes troglodytes,Eurasian Wren
whisto1,Ciconia ciconia,Ciconia ciconia,White Stork
eurcoo,Fulica atra,Fulica atra,Eurasian Coot
wemhar1,Circus aeruginosus,Circus aeruginosus,Western Marsh Harrier
litgre1,Tachybaptus ruficollis,Tachybaptus ruficollis,Little Grebe
commoo3,Gallinula chloropus,Gallinula chloropus,Eurasian Moorhen
alepar2,Psittacula eupatria,Psittacula eupatria,Alexandrine Parakeet
lottit1,Aegithalos caudatus,Aegithalos caudatus,Long-tailed Tit
rebshr1,Lanius collurio,Lanius collurio,Red-backed Shrike
sarwar1,Curruca melanocephala,Curruca melanocephala,Sardinian Warbler
eurkes,Falco tinnunculus,Falco tinnunculus,Eurasian Kestrel
grcgre1,Podiceps cristatus,Podiceps cristatus,Great Crested Grebe
cetwar1,Cettia cetti,Cettia cetti,Cetti's Warbler
shteag1,Circaetus gallicus,Circaetus gallicus,Short-toed Snake-Eagle
comrav,Corvus corax,Corvus corax,Common Raven
eurgol,Carduelis carduelis,Carduelis carduelis,European Goldfinch
comswi,Apus apus,Apus apus,Common Swift
blackc1,Sylvia atricapilla,Sylvia atricapilla,Eurasian Blackcap
eubeat1,Merops apiaster,Merops apiaster,European Bee-eater
syrwoo1,Dendrocopos syriacus,Dendrocopos syriacus,Syrian Woodpecker
comnig1,Luscinia megarhynchos,Luscinia megarhynchos,Common Nightingale
eurgre1,Chloris chloris,Chloris chloris,European Greenfinch
litegr,Egretta garzetta,Egretta garzetta,Little Egret
eaywag1,Motacilla flava,Motacilla flava,Western Yellow Wagtail
greegr,Ardea alba,Ardea alba,Great Egret
eurhob,Falco subbuteo,Falco subbuteo,Eurasian Hobby
