ebird_kodu,bilimsel_ad,turkce_ad,ingilizce_ad,gbif_kayit,gbif_species_key,durum,gerekce,ay_01,ay_02,ay_03,ay_04,ay_05,ay_06,ay_07,ay_08,ay_09,ay_10,ay_11,ay_12,xc_ab,xc_ab_eu,xc_ab_sa
hoocro1,Corvus cornix,Leş Kargası,Hooded Crow,25861,2482515,dahil,,2024,1787,2765,3193,3105,1473,1104,1275,2427,2755,1915,2037,3830,3799,3669
yelgul1,Larus michahellis,Gümüş Martı,Yellow-legged Gull,23292,9413670,dahil,,2162,1669,2369,2688,2726,1271,1066,1200,2128,2391,1770,1851,569,565,524
eurjac,Coloeus monedula,Küçük Karga,Eurasian Jackdaw,17929,6100954,dahil,,1546,1339,1888,2133,2237,891,502,790,1717,2006,1380,1499,940,927,762
eurmag1,Pica pica,Saksağan,Eurasian Magpie,17702,5229490,dahil,,1493,1282,1930,2202,2173,887,557,830,1657,1892,1349,1449,1109,1057,889
houspa,Passer domesticus,Serçe,House Sparrow,17604,5231190,dahil,,1176,1076,1845,2255,2549,1259,940,1033,1553,1648,1087,1182,2061,1597,1278
gretit1,Parus major,Büyük Baştankara,Great Tit,15332,9705453,dahil,,1112,1059,1891,2138,1873,794,437,630,1448,1739,1005,1204,5179,4995,3872
rocpig,Columba livia,Kaya Güvercini,Rock Pigeon,14976,2495414,dahil,,997,953,1526,1768,1811,878,633,874,1494,1699,1144,1198,186,114,98
comcha,Fringilla coelebs,İspinoz,Common Chaffinch,13995,2494422,dahil,,1567,1264,2003,1516,1076,585,291,296,712,1777,1332,1575,4640,4429,3536
eursta,Sturnus vulgaris,Sığırcık,European Starling,12451,9809229,dahil,,1157,949,1315,1622,1754,819,315,295,662,1261,1141,1160,1363,1205,995
grecor,Phalacrocorax carbo,Karabatak,Great Cormorant,12130,2481890,dahil,,1427,1076,1369,1354,1207,607,459,567,882,1077,938,1166,260,250,184
eurrob1,Erithacus rubecula,Kızılgerdan,European Robin,11553,2492462,dahil,,1152,915,1671,1241,700,334,175,244,656,1732,1410,1322,4721,4634,3843
graher1,Ardea cinerea,Gri Balıkçıl,Gray Heron,10560,9797180,dahil,,1016,784,1010,1300,1159,535,464,588,926,1027,801,949,1406,1317,1024
combuz1,Buteo buteo,Şahin,Common Buzzard,10435,2480537,dahil,,1100,850,1601,1367,625,59,28,156,965,1546,998,1139,421,419,316
alpswi1,Tachymarptis melba,Ak Karınlı Ebabil,Alpine Swift,9988,2477411,dahil,,0,0,402,1889,2094,982,730,931,1694,1198,66,2,204,187,172
eurbla,Turdus merula,Karatavuk,Eurasian Blackbird,9332,2490719,dahil,,746,750,1354,1352,1234,569,274,299,528,817,665,743,5469,5310,4087
bkhgul,Chroicocephalus ridibundus,Karabaş Martı,Black-headed Gull,9140,6065824,dahil,,1621,1232,1146,654,279,95,172,295,538,822,995,1291,910,879,710
laudov1,Spilopelia senegalensis,Küçük Kumru,Laughing Dove,8611,6101223,elendi,"yaygin tur, XC'de 13 A/B kayit (gereken 30; Avrupa 13, dunya 179)",532,508,815,1077,1145,564,431,623,973,880,557,505,179,13,12
eurjay1,Garrulus glandarius,Alakarga,Eurasian Jay,7510,5229493,dahil,,483,492,853,1043,891,409,198,257,734,977,563,609,1717,1605,1281
comchi1,Phylloscopus collybita,Çıvgın,Common Chiffchaff,7384,2493091,dahil,,442,411,1318,1400,358,137,55,121,438,1478,685,540,4091,3908,2964
rorpar,Psittacula krameri,Yeşil Papağan,Rose-ringed Parakeet,7357,2479226,elendi,kafesten kacmis papagan (yerlesik ama egzotik),,,,,,,,,,,,,,,
eurspa1,Accipiter nisus,Atmaca,Eurasian Sparrowhawk,7133,2480637,dahil,,440,320,958,1096,364,26,24,90,939,1477,833,565,194,186,149
whiwag,Motacilla alba,Ak Kuyruksallayan,White Wagtail,6981,9687165,dahil,,565,426,1232,1288,383,151,119,155,525,1050,548,538,1183,926,759
blutit,Cyanistes caeruleus,Mavi Baştankara,Eurasian Blue Tit,6928,2487879,dahil,,711,692,839,616,383,267,172,229,654,1025,630,709,2340,2328,1825
barswa,Hirundo rustica,Kır Kırlangıcı,Barn Swallow,6848,9515886,dahil,,0,0,176,1723,1762,606,417,650,1153,356,4,0,1308,1008,713
mallar3,Anas platyrhynchos,Yeşilbaş,Mallard,6730,9761484,dahil,,904,657,578,715,724,256,237,302,432,602,593,729,967,850,685
pygcor2,Microcarbo pygmaeus,Küçük Karabatak,Pygmy Cormorant,6630,10095118,elendi,"yaygin tur, XC'de 12 A/B kayit (gereken 30; Avrupa 12, dunya 12)",950,757,780,607,391,140,185,309,475,618,613,805,12,12,8
eucdov,Streptopelia decaocto,Kumru,Eurasian Collared-Dove,5977,2495696,dahil,,300,309,553,852,975,431,281,434,713,454,351,323,376,315,250
winwre4,Troglodytes troglodytes,Çıtkuşu,Eurasian Wren,5976,5231438,dahil,,465,519,902,912,661,337,174,139,272,543,479,572,3462,3296,2705
whisto1,Ciconia ciconia,Leylek,White Stork,5840,2481912,dahil,,40,78,1457,1576,874,208,159,834,449,96,38,30,200,199,167
eurcoo,Fulica atra,Sakarmeke,Eurasian Coot,5806,2474377,dahil,,1262,923,468,321,301,108,142,187,303,378,522,890,1539,1474,1274
wemhar1,Circus aeruginosus,Saz Delicesi,Western Marsh Harrier,5105,2480482,dahil,,444,322,679,983,648,133,115,241,482,363,308,386,126,122,86
litgre1,Tachybaptus ruficollis,Küçük Batağan,Little Grebe,4587,2482048,dahil,,810,567,398,327,134,74,125,224,374,450,489,614,960,799,660
commoo3,Gallinula chloropus,Sutavuğu,Eurasian Moorhen,4401,5228199,dahil,,296,221,546,808,617,231,187,250,283,376,246,339,1554,1434,1276
alepar2,Psittacula eupatria,İskender Papağanı,Alexandrine Parakeet,4250,5229055,dahil,,309,316,459,541,484,279,150,178,403,482,342,307,127,35,33
lottit1,Aegithalos caudatus,Uzun Kuyruklu Baştankara,Long-tailed Tit,4188,2495000,dahil,,319,336,605,598,439,183,64,126,358,465,325,369,1177,1133,885
rebshr1,Lanius collurio,Kızıl Sırtlı Örümcekkuşu,Red-backed Shrike,4152,7745240,dahil,,1,0,0,253,1757,318,181,652,798,175,16,0,666,631,503
sarwar1,Curruca melanocephala,Maskeli Ötleğen,Sardinian Warbler,3963,9990095,dahil,,70,105,459,747,602,245,182,198,544,514,180,117,1008,951,843
eurkes,Falco tinnunculus,Kerkenez,Eurasian Kestrel,3951,9616058,dahil,,307,193,420,843,611,119,109,253,358,335,196,206,669,573,497
,Aquila pomarina,,,3781,2480505,elendi,eBird taksonomisinde eslesmedi,,,,,,,,,,,,,,,
grcgre1,Podiceps cristatus,Bahri,Great Crested Grebe,3743,2482054,dahil,,801,642,458,382,264,91,101,137,181,153,158,374,303,281,236
cetwar1,Cettia cetti,Kamışbülbülü,Cetti's Warbler,3717,2493012,dahil,,287,257,547,735,724,282,114,94,101,201,158,216,1585,1539,1269
shteag1,Circaetus gallicus,Yılan Kartalı,Short-toed Snake-Eagle,3450,2480666,dahil,,0,1,401,642,365,85,78,213,1154,499,9,2,81,70,60
comrav,Corvus corax,Kuzgun,Common Raven,3423,2482492,dahil,,204,222,504,458,237,82,63,134,500,497,257,264,2030,1450,1163
eurgol,Carduelis carduelis,Saka,European Goldfinch,3398,2494686,dahil,,371,286,538,319,132,72,50,89,89,441,511,499,1397,1364,1158
comswi,Apus apus,Ebabil,Common Swift,3374,5228676,dahil,,0,0,42,444,959,563,400,341,519,104,2,0,634,612,547
blackc1,Sylvia atricapilla,Kara Başlı Ötleğen,Eurasian Blackcap,3144,2492956,dahil,,19,68,227,787,811,242,51,77,463,351,32,15,4346,4322,3524
eubeat1,Merops apiaster,Arıkuşu,European Bee-eater,3081,2475443,dahil,,0,0,2,135,1137,244,133,354,1026,48,0,1,636,559,494
syrwoo1,Dendrocopos syriacus,Alaca Ağaçkakan,Syrian Woodpecker,3050,2478031,dahil,,214,197,270,309,286,149,118,248,424,399,205,231,148,144,112
comnig1,Luscinia megarhynchos,Bülbül,Common Nightingale,3020,7660710,dahil,,1,1,8,912,1307,511,131,87,57,2,2,0,2741,2586,2188
,Phalacrocorax aristotelis,,,2948,2481861,elendi,eBird taksonomisinde eslesmedi,,,,,,,,,,,,,,,
eurgre1,Chloris chloris,Florya,European Greenfinch,2915,5845582,dahil,,130,154,336,398,277,168,108,170,187,560,293,133,1644,1608,1343
litegr,Egretta garzetta,Küçük Ak Balıkçıl,Little Egret,2853,2480876,dahil,,95,57,63,529,512,148,188,338,438,229,103,153,553,456,371
eaywag1,Motacilla flava,Sarı Kuyruksallayan,Western Yellow Wagtail,2844,9701857,dahil,,1,1,259,954,539,93,105,312,454,119,2,4,1820,1512,1250
greegr,Ardea alba,Büyük Ak Balıkçıl,Great Egret,2818,9752617,dahil,,536,309,300,346,114,40,40,32,150,257,279,415,337,117,97
eurhob,Falco subbuteo,Delice Doğan,Eurasian Hobby,2793,2481035,dahil,,0,0,16,230,391,206,110,243,1169,423,2,2,209,198,159
blasto1,Ciconia nigra,Kara Leylek,Black Stork,2770,2481909,elendi,"yaygin tur, XC'de 26 A/B kayit (gereken 30; Avrupa 26, dunya 26)",22,12,314,527,384,94,102,210,757,291,21,35,26,26,16
